"","LONGITUDE","LATITUDE","NAME","ADDRESS","ID","AADTT","FLEET","ID_2"
"153",-104.793218,39.762873,"Flying J Travel Plaza","Flying J Travel Plaza
I-70 Exit 285 (South), 16751 East 32nd Ave
Aurora CO
Phone:80011

","444",19885,0,"513"
"154",-107.587008,37.234459,"Indie Truck Stop","Bayfield Shell Truck and Auto
US160, 2400 US Highway 160B
Bayfield CO
Phone:81122

","445",770,0,"514"
"155",-104.527664,39.737508,"Indie Truck Stop","Valero Fuel Stop
I-70 Ex 299, 1495 N Manila Rd
Bennett CO
Phone:

","446",3800,0,"515"
"156",-104.433378,39.74038,"Loves Travel Stop","Loves Travel Stop
I-70 Exit 304
Bennett CO
Phone:80102

","447",3800,0,"516"
"157",-104.818056,39.915286,"Indie Truck Stop","Tomahawk Truck Stop
I-76 Ex 16, 12060 Sable Blvd
Brighton CO
Phone:80601

","448",8210,0,"517"
"158",-103.621583,40.266749,"Indie Truck Stop","Acorn Food Store
1041 Colorado Avenue
Brush CO
Phone:80723

","449",2330,0,"518"
"159",-103.62175,40.271931,"Indie Truck Stop","Tomahawk AutoTruck Plaza
1156 N Colorado Ave
Brush CO
Phone:80723

","450",2330,0,"519"
"160",-106.10835,38.811958,"Indie Truck Stop","Gunsmoke Truck Stop
US285 and US24, 12961 US Highway 24 and 285
Buena Vista CO
Phone:81211

","451",712,0,"520"
"161",-106.107632,38.812163,"Indie Truck Stop","Gunsmoke Truck Stop
12950 US Highway 24/285
Buena Vista CO
Phone:81211

","452",712,0,"521"
"162",-102.278363,39.292192,"Loves Travel Stop","Loves Travel Stop
I-70, Exit 437, 582 S Lincoln St
Burlington CO
Phone:80807

","453",2430,0,"522"
"163",-102.279517,39.295815,"Indie Truck Stop","Travel Shoppe
I-70 Ex 437 (Hwy 385), 415 S. Lincoln St
Burlington CO
Phone:80807

","454",2430,0,"523"
"164",-102.252684,39.301519,"Indie Truck Stop","Amacks Fuel Stop
I-70 Ex 438, 100 Rose Ave
Burlington CO
Phone:80807

","455",2320,0,"524"
"165",-104.79434,37.961375,"Indie Truck Stop","Valero
I-25 Ex 74 (Hwy 165)
Colorado City CO
Phone:81019

","456",1770,0,"525"
"166",-104.852979,39.057492,"Indie Truck Stop","Diamond Shamrock
I-25 Ex 158, 1310 W. Baptist Rd
Colorado Springs CO
Phone:80132

","457",6500,0,"526"
"167",-104.90504,39.785244,"Indie Truck Stop","Sapp Bros Travel Center
7120 E 49th Ave
Commerce City CO
Phone:80022

","458",21550,0,"527"
"168",-104.930399,39.792818,"Indie Truck Stop","Key Truck Diesel
5350 Dahlia Street
Commerce City CO
Phone:80022

","459",34450,0,"528"
"169",-104.9042,39.798927,"Indie Truck Stop","Valero
I-270 Ex 4, 5061 Quebec St
Commerce City CO
Phone:80022

","460",26950,0,"529"
"170",-108.685752,37.204428,"Indie Truck Stop","Ute Mountain Travel Center
491 and Wee Minute Rd
Cortez CO
Phone:81321

","461",550,0,"530"
"171",-108.591898,37.349853,"Indie Truck Stop","Sinclair Truck Stop
110 North Broadway
Cortez CO
Phone:81321

","462",1265,0,"531"
"172",-104.984495,39.766523,"Indie Truck Stop","Conoco
3083 Brighton Blvd
Denver CO
Phone:80216

","463",32220,0,"532"
"173",-104.977878,39.788316,"Indie Truck Stop","North Washington Sindair
I-25 Ex 214 Or I-70 Ex 274, 5050 Washington St
Denver CO
Phone:80216

","464",41345,0,"533"
"174",-104.986799,39.802257,"Indie Truck Stop","Valero Fuel Stop
I-25 Ex 215, 5810 Broadway
Denver CO
Phone:80216

","465",37095,0,"534"
"175",-104.949303,39.780764,"Pilot Travel Center","Pilot Travel Center
I-70 Exit 276A, 4640 Steele Street
Denver CO
Phone:80216

","466",30490,0,"535"
